Year,NY.GDP.MKTP.KD.ZG
2023,3.69999636052071
2022,3.82185605131144
2021,6.54400109937833
2020,1.3420737726679
2019,4.61362809749708
2018,6.20924103389086
2017,7.4074861863013
2016,6.35606857181878
2015,6.36704365066983
2014,6.22407443790986
2013,2.41238527605579
2012,4.00299555090457
2011,1.33409107961258
2010,3.39088925336209
2009,2.75210448455053
2008,3.70316906391386
2007,2.82711920133374
2006,2.33077098330239
2005,4.31023852639633
2004,4.64329393683312
2003,5.59395094456143
2002,0.0686965747419066
2001,4.31085146618369
2000,3.88721095816793
1999,6.28330825030987
1998,5.89847931769205
1997,3.04560103485423
1996,2.01997720854131
1995,5.46858485819628
1994,-0.0475209486617416
1993,1.36021300651346
1992,1.32023303661357
1991,2.65996265739379
1990,-0.746282224252312
1989,3.97378331483225
1988,-0.816575488243529
1987,6.25586340662731
1986,3.12698554897204
1985,3.46308446515194
1984,3.93584244306339
1983,-5.64746028114288
1982,8.01038437134387
1981,5.18022967002236
1980,3.98776197168547
1979,7.00168561322543
1978,-3.95393126013779
1977,-2.68290530487465
1976,8.92050370390294
1975,7.53566259858628
1974,4.20077552585172
