Year,NY.GDP.PCAP.CD
2023,1745.97206754147
2022,1594.98515311153
2021,1630.69507165793
2020,1492.47590293523
2019,1462.67835252138
2018,1484.22707035644
2017,1385.1992136057
2016,1290.74997126951
2015,1238.12639978389
2014,1417.094987474
2013,1391.5321896037
2012,1334.72591526235
2011,1383.53911649626
2010,1286.60496647046
2009,1323.9712258938
2008,1419.5309032462
2007,1210.16749782982
2006,1038.57909197327
2005,1003.18719302616
2004,941.873792468596
2003,840.358254037001
2002,688.187479533694
2001,654.840727365959
2000,619.642123524918
1999,695.552082869173
1998,702.433692790286
1997,667.45320612378
1996,741.761664681773
1995,732.836373011281
1994,598.14541879462
1993,898.912999042974
1992,974.3312056329
1991,935.638389221427
1990,980.754562057676
1989,869.459907375207
1988,902.26986433309
1987,938.857617453903
1986,803.48470365839
1985,585.664420881965
1984,549.554524292633
1983,578.326149388595
1982,668.057517330895
1981,699.909857005646
1980,790.71035654846
1979,734.099543445937
1978,603.758342577677
1977,553.481928895425
1976,553.883396485109
1975,560.703672698924
1974,427.437442026759
